date,close,volume,open,high,low
11-05-2018,301.06,4665321,307.7,308.88,299.08
10-05-2018,305.02,5642771,307.4997,312.99,304.1119
09-05-2018,306.85,5712255,300.41,307.01,300.05
08-05-2018,301.97,5927447,300.795,307.75,299
07-05-2018,302.77,8673090,297.5,305.9588,295.17
04-05-2018,294.09,8565506,283,296.86,279.52
03-05-2018,284.45,17339090,278.79,288.04,275.23
02-05-2018,301.15,8346176,298.57,306.85,297.7844
01-05-2018,299.92,4614946,293.51,300.82,293.22
30-04-2018,293.9,4224068,293.61,298.73,292.5
27-04-2018,294.075,4346854,285.37,294.47,283.83
26-04-2018,285.48,4348108,278.75,285.79,276.5
25-04-2018,280.69,4000421,283.5,285.16,277.25
24-04-2018,283.46,5678242,285,287.09,278.46
23-04-2018,283.37,4880743,291.29,291.62,282.33
20-04-2018,290.24,5622630,295.17,299.98,289.75
19-04-2018,300.08,6083800,291.08,301.01,288.55
18-04-2018,293.35,6531563,291.08,300.24,288.16
17-04-2018,287.69,6931152,288.87,292.17,282.51
16-04-2018,291.21,6289497,299,299.66,289.01
13-04-2018,300.34,7319225,303.6,303.9499,295.98
12-04-2018,294.08,7595525,302.32,303.95,293.68
11-04-2018,300.93,7470204,300.74,308.98,299.66
10-04-2018,304.7,11017010,298.97,307.1,293.68
09-04-2018,289.66,10241410,300.37,309.5,289.21
06-04-2018,299.3,13516530,301,309.28,295.5
05-04-2018,305.72,19025860,289.34,306.26,288.2
04-04-2018,286.94,19880180,252.78,288.37,252
03-04-2018,267.53,18829650,269.82,273.35,254.49
02-04-2018,252.48,16093290,256.26,260.3318,244.5901
29-03-2018,266.13,15014440,256.49,270.9599,248.21
28-03-2018,257.78,20962280,264.58,268.68,252.1
27-03-2018,279.18,13787060,304,304.27,277.18
26-03-2018,304.18,8364937,307.34,307.59,291.36
23-03-2018,301.54,6639960,311.25,311.61,300.45
22-03-2018,309.1,4924928,313.89,318.82,308.18
21-03-2018,316.53,5954247,310.25,322.44,310.19
20-03-2018,310.55,4761031,314.87,316.25,308.76
19-03-2018,313.56,7467890,316.5,320.75,309.67
16-03-2018,321.35,6113365,325.96,327.4,319.07
15-03-2018,325.6,6554568,329.38,332.85,321.1
14-03-2018,326.63,7952152,336.76,339.81,323.93
